ablation_value,comparison,delta,fixture_id,l4_value,metric
1.0,L4 minus L3_coarse,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,1.0,route_coverage
1658.3125,L4 minus L3_coarse,413.3541666666665,final-v1:long_chain_fork:intermediate_retraction:business-0,2071.6666666666665,tokens_per_decision
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,unsafe_rate
0.5,L4 minus verify_all,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.5,safe_rate
1.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,1.0,unrelated_retention
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,overfreeze_rate
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus verify_all,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,1.0,route_coverage
2294.176470588235,L4 minus verify_all,-222.50980392156862,final-v1:long_chain_fork:intermediate_retraction:business-0,2071.6666666666665,tokens_per_decision
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,unsafe_rate
0.25,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:late_notice:business-0,0.25,safe_rate
0.5,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:late_notice:business-0,0.5,unrelated_retention
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,overfreeze_rate
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,propagation_handoffs_per_task
0.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,recovery_rate_confirmed
1.0,L4 minus L4_no_push,0.0,final-v1:long_chain_fork:late_notice:business-0,1.0,route_coverage
