scenario,seed,ablation_node,alignment,protocol,target,w_omit,converged,rounds,social_cost,social_optimum,observed_poa,expected_checks,optimal_checks,over_check_ratio,exploitability,converged_starts,starts,check_ratio_min,check_ratio_max
synthetic,23,,baseline,certificate,resp-Omission@2,2.0,True,2,1.0434103813323712,1.043410381332371,1.0000000000000002,2.0,2.0,1.0,0.0,2,2,1.0,1.0
synthetic,23,,baseline,verified_certificate,selfish,,True,2,1.1368761409408923,1.043410381332371,1.0895771800632952,1.0,2.0,0.5,0.0,2,2,0.5,0.5
synthetic,23,,baseline,verified_certificate,resp-Proportional,,True,2,1.1368761409408927,1.043410381332371,1.0895771800632956,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,23,,baseline,verified_certificate,resp-Omission@0,0.0,True,2,1.1368761409408927,1.043410381332371,1.0895771800632956,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,23,,baseline,verified_certificate,resp-Omission@0.5,0.5,True,2,1.1368761409408925,1.043410381332371,1.0895771800632954,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,23,,baseline,verified_certificate,resp-Omission@1,1.0,True,2,1.1368761409408925,1.043410381332371,1.0895771800632954,1.0,2.0,0.5,0.0,2,2,0.5,1.0
synthetic,23,,baseline,verified_certificate,resp-Omission@2,2.0,True,2,1.0434103813323712,1.043410381332371,1.0000000000000002,2.0,2.0,1.0,0.0,2,2,1.0,1.0
letter_of_credit,0,,baseline,black_box,selfish,,True,1,5.07172336703094,1.9223682304406817,2.638268405979797,0.0,1.274054648,0.0,0.0,2,2,0.0,0.8790831710069631
letter_of_credit,0,,baseline,black_box,resp-Proportional,,True,2,5.07172336703094,1.9223682304406813,2.6382684059797974,0.0,1.274054648,0.0,0.0,2,2,0.0,0.0
letter_of_credit,0,,baseline,black_box,resp-Omission@0,0.0,True,2,5.07172336703094,1.9223682304406813,2.6382684059797974,0.0,1.274054648,0.0,0.0,2,2,0.0,0.0
